No,일자,택배지점,터미널,집배점,비대면 배송완료 사진 전송 대상 건수,비대면 배송완료 사진 전송 건수,미전송 건수,전송률
223.0,20260518,마포,신마포,서교(집),154.0,201.0,-47.0,130.5%
224.0,20260518,마포,신마포,염리(집),209.0,368.0,-159.0,176.1%
225.0,20260518,마포,신마포,홍제(집),28.0,45.0,-17.0,160.7%
226.0,20260518,마포,신수(용산),남대문시장(집),59.0,77.0,-18.0,130.5%
227.0,20260518,마포,신수(용산),보광(집),51.0,58.0,-7.0,113.7%
228.0,20260518,마포,신수(용산),신당(집),270.0,296.0,-26.0,109.6%
229.0,20260518,마포,신수(용산),이태원(집),138.0,177.0,-39.0,128.3%
230.0,20260518,마포,신수(용산),후암(집),414.0,468.0,-54.0,113%
231.0,20260518,마포,용산2,용산(집),407.0,490.0,-83.0,120.4%
232.0,20260518,마포,용산2,원효(집),208.0,299.0,-91.0,143.8%
233.0,20260518,마포,장항1(중구),남산(집),84.0,92.0,-8.0,109.5%
234.0,20260518,마포,장항1(중구),무교(집),323.0,369.0,-46.0,114.2%
235.0,20260518,마포,장항1(중구),을지(집),219.0,238.0,-19.0,108.7%
236.0,20260518,마포,장항1(중구),충정로(집),265.0,292.0,-27.0,110.2%
237.0,20260518,마포,장항1(중구),해운(집),204.0,221.0,-17.0,108.3%
238.0,20260518,마포,장항2(마포),마포도화(집),263.0,307.0,-44.0,116.7%
239.0,20260518,마포,장항2(마포),망원(집),181.0,185.0,-4.0,102.2%
240.0,20260518,마포,장항2(마포),상암(집),566.0,572.0,-6.0,101.1%
241.0,20260518,마포,장항2(마포),서강(집),165.0,203.0,-38.0,123%
242.0,20260518,목포,강진,강진(집),363.0,333.0,30.0,91.7%
243.0,20260518,목포,목포,목포(집),1106.0,1115.0,-9.0,100.8%
244.0,20260518,목포,목포,목포남악(집),721.0,767.0,-46.0,106.4%
245.0,20260518,목포,목포,신안(집),129.0,119.0,10.0,92.2%
246.0,20260518,목포,목포,영암삼호(집),303.0,342.0,-39.0,112.9%
247.0,20260518,목포,무안,무안(집),544.0,602.0,-58.0,110.7%
248.0,20260518,목포,영암,영암(집),136.0,136.0,0.0,100%
249.0,20260518,목포,완도,고금(집),68.0,81.0,-13.0,119.1%
250.0,20260518,목포,완도,노화(집),32.0,33.0,-1.0,103.1%
251.0,20260518,목포,완도,완도(집),224.0,245.0,-21.0,109.4%
252.0,20260518,목포,장흥,장흥(집),228.0,217.0,11.0,95.2%
253.0,20260518,목포,진도,진도(집),283.0,252.0,31.0,89%
254.0,20260518,목포,함평,함평(집),260.0,292.0,-32.0,112.3%
255.0,20260518,목포,해남,해남(집),469.0,482.0,-13.0,102.8%
256.0,20260518,목포,해남,해남황산(집),122.0,80.0,42.0,65.6%
257.0,20260518,부산,기장,금사(집),632.0,642.0,-10.0,101.6%
258.0,20260518,부산,기장,기장(집),265.0,312.0,-47.0,117.7%
259.0,20260518,부산,기장,부산구서(집),156.0,197.0,-41.0,126.3%
260.0,20260518,부산,기장,부산남산(집),233.0,250.0,-17.0,107.3%
261.0,20260518,부산,기장,정관(집),763.0,852.0,-89.0,111.7%
262.0,20260518,부산,남부산,부산대연(집),269.0,277.0,-8.0,103%
263.0,20260518,부산,남부산,부산우암(집),460.0,491.0,-31.0,106.7%
264.0,20260518,부산,남부산,수영(집),532.0,599.0,-67.0,112.6%
265.0,20260518,부산,남부산,영도(집),831.0,910.0,-79.0,109.5%
266.0,20260518,부산,동부산,암남(집),568.0,694.0,-126.0,122.2%
267.0,20260518,부산,동부산,연제동(집),1131.0,1197.0,-66.0,105.8%
268.0,20260518,부산,동부산,연제중앙(집),526.0,573.0,-47.0,108.9%
269.0,20260518,부산,부산서구,부산대신(집),218.0,237.0,-19.0,108.7%
270.0,20260518,부산,부산서구,용호(집),1015.0,1145.0,-130.0,112.8%
271.0,20260518,부산,부산진,부산당감(집),135.0,145.0,-10.0,107.4%
272.0,20260518,부산,부산진,부산양정(집),682.0,708.0,-26.0,103.8%
273.0,20260518,부산,부산진,부산용당(집),219.0,241.0,-22.0,110%
274.0,20260518,부산,부산진,연지(집),359.0,434.0,-75.0,120.9%
275.0,20260518,부산,부산진,전포(집),130.0,151.0,-21.0,116.2%
